DATE,MANDAY_HT,MANHOUR_HT,MANDAY_MT,MANHOUR_MT,BDPOCDISCIPLINE
5/12/2022,5,50,1,10,MECH
5/12/2022,14,140,2,20,PROD
5/12/2022,2,20,0,0,RES
5/13/2022,5,50,1,10,DECK
5/13/2022,7,70,1,10,E&I
5/13/2022,5,50,1,10,MECH
5/13/2022,14,140,2,20,PROD
5/13/2022,2,20,0,0,RES
5/14/2022,5,50,1,10,DECK
5/14/2022,7,70,1,10,E&I
5/14/2022,5,50,1,10,MECH
5/14/2022,14,140,2,20,PROD
5/14/2022,2,20,0,0,RES
5/15/2022,5,50,1,10,DECK
5/15/2022,7,70,1,10,E&I
5/15/2022,5,50,1,10,MECH
5/15/2022,14,140,2,20,PROD
5/15/2022,2,20,0,0,RES
5/16/2022,5,50,1,10,DECK
5/16/2022,7,70,1,10,E&I
5/16/2022,5,50,1,10,MECH
5/16/2022,14,140,2,20,PROD
5/16/2022,2,20,0,0,RES
5/17/2022,5,50,1,10,DECK
5/17/2022,7,70,1,10,E&I
5/17/2022,5,50,1,10,MECH
5/17/2022,14,140,2,20,PROD
5/17/2022,2,20,0,0,RES
5/18/2022,5,50,1,10,DECK
5/18/2022,7,70,1,10,E&I
5/18/2022,5,50,1,10,MECH
5/18/2022,14,140,2,20,PROD
5/18/2022,2,20,0,0,RES
5/19/2022,5,50,1,10,DECK
5/19/2022,7,70,1,10,E&I
5/19/2022,5,50,1,10,MECH
5/19/2022,14,140,2,20,PROD
5/19/2022,2,20,0,0,RES
5/20/2022,5,50,1,10,DECK
5/20/2022,7,70,1,10,E&I
5/20/2022,5,50,1,10,MECH
5/20/2022,14,140,2,20,PROD
5/20/2022,2,20,0,0,RES
5/21/2022,5,50,1,10,DECK
5/21/2022,7,70,1,10,E&I
5/21/2022,5,50,1,10,MECH
5/21/2022,14,140,2,20,PROD
5/21/2022,2,20,0,0,RES
5/22/2022,5,50,1,10,DECK
5/22/2022,7,70,1,10,E&I
5/22/2022,5,50,1,10,MECH
5/22/2022,14,140,2,20,PROD
5/22/2022,2,20,0,0,RES
5/23/2022,5,50,1,10,DECK
5/23/2022,7,70,1,10,E&I
5/23/2022,5,50,1,10,MECH
5/23/2022,14,140,2,20,PROD
5/23/2022,2,20,0,0,RES
5/24/2022,5,50,1,10,DECK
5/24/2022,7,70,1,10,E&I
5/24/2022,5,50,1,10,MECH
5/24/2022,14,140,2,20,PROD
5/24/2022,2,20,0,0,RES
5/25/2022,5,50,1,10,DECK
5/25/2022,7,70,1,10,E&I
5/25/2022,5,50,1,10,MECH
5/25/2022,14,140,2,20,PROD
5/25/2022,2,20,0,0,RES
5/26/2022,5,50,1,10,DECK
5/26/2022,6,60,1,10,E&I
5/26/2022,5,50,1,10,MECH
5/26/2022,14,140,2,20,PROD
5/26/2022,2,20,0,0,RES
5/27/2022,5,50,1,10,DECK
5/27/2022,6,60,1,10,E&I
5/27/2022,5,50,1,10,MECH
5/27/2022,14,140,2,20,PROD
5/27/2022,2,20,0,0,RES
5/28/2022,5,50,1,10,DECK
5/28/2022,6,60,1,10,E&I
5/28/2022,5,50,1,10,MECH
5/28/2022,14,140,2,20,PROD
5/28/2022,2,20,0,0,RES
5/29/2022,5,50,1,10,DECK
5/29/2022,6,60,1,10,E&I
5/29/2022,5,50,1,10,MECH
5/29/2022,14,140,2,20,PROD
5/29/2022,2,20,0,0,RES
5/30/2022,5,50,1,10,DECK
5/30/2022,6,60,1,10,E&I
5/30/2022,5,50,1,10,MECH
5/30/2022,14,140,2,20,PROD
5/30/2022,2,20,0,0,RES
5/31/2022,5,50,1,10,DECK
5/31/2022,6,60,1,10,E&I
5/31/2022,5,50,1,10,MECH
5/31/2022,14,140,2,20,PROD
5/31/2022,2,20,0,0,RES
